sep=, 
Hand-Neck Distance (m), Elbow Angle (rad)
0.642932534, 2.40356493
0.63159436, 2.34953713
0.612418532, 2.25814795
0.576479554, 2.12629128
0.543699503, 1.88030636
0.50783658, 1.86903346
0.463902652, 1.65135705
0.460863233, 1.34982312
0.381635755, 1.12620127
0.34869194, 0.9917624
0.32367906, 0.895318389
0.304508179, 0.838581264
0.292863458, 0.863469064
0.285180658, 0.84782207
0.280229896, 0.838301361
0.280670375, 0.838430643
0.292866379, 0.878161311
0.319196403, 0.966558337
0.356673717, 1.09024048
0.399558008, 1.21785772
0.450102299, 1.34130323
0.502093315, 1.50149381
0.553165078, 1.67663193
0.594548464, 1.82542288
0.625538647, 1.93390822
0.645942926, 2.00519347
0.655212641, 2.04442382
0.654078364, 2.09746766
0.645447791, 2.05047774
0.628094494, 1.97722065
0.597254932, 1.87118661
0.564454913, 1.74833727
0.527773261, 1.61313915
0.483689308, 1.45966351
0.439599365, 1.32036817
0.395810694, 1.14024806
0.354136407, 1.01152444
0.319297522, 0.913617909
0.295964807, 0.835111141
0.275262505, 0.77892679
0.266820222, 0.753298938
0.264160782, 0.752505839
0.270668298, 0.775569916
0.281500161, 0.811765134
0.301110506, 0.855491996
0.3274481, 0.934146345
0.359389901, 1.02780175
0.397799343, 1.19746923
0.439669192, 1.32324719
0.484675258, 1.45873189
0.52789551, 1.60805202
0.571316302, 1.75724661
0.606623054, 1.86453509
0.634850144, 1.96240878
0.653336823, 2.05120277
0.664514124, 2.1528368
0.668134212, 2.14522791
0.667701721, 2.13748813
0.660534501, 2.10453081
0.645883083, 2.04423475
0.626638293, 1.95434988
0.598496914, 1.84679627
0.566586792, 1.72998893
0.531000853, 1.62708831
0.487386048, 1.49208248
0.442478925, 1.35307014
0.394654393, 1.21033287
0.346211672, 1.08548641
0.302529544, 0.960864425
0.266090751, 0.85682869
0.241433024, 0.780245423
0.227024078, 0.699931026
0.235579893, 0.703173816
0.243612424, 0.725014627
0.260235786, 0.744039834
0.287295163, 0.729767144
0.314520746, 0.773860574
0.348325312, 1.00566685
0.385243714, 1.14566708
0.429975331, 1.27314222
0.478942156, 1.51045668
0.537443936, 1.57690811
0.59676522, 1.82742989
0.640140533, 2.04863119
0.671868145, 2.21028328
0.681443512, 2.35967731
0.69753617, 2.50655198
0.714610636, 2.61750555
0.730786443, 2.71951008
0.737224162, 2.7991066
0.746272504, 2.84340382
0.747970283, 2.85584283
0.745704889, 2.85268474
0.748498082, 2.83053374
0.745624363, 2.79626012
0.74451834, 2.77548075
0.743991137, 2.75101376
0.739815235, 2.72568655
0.739653528, 2.69901919
0.734231174, 2.67002726
0.732318342, 2.65103912
0.727573693, 2.63156033
0.726086974, 2.6142478
0.722331345, 2.59492946
0.718780279, 2.57512617
0.713566124, 2.55414748
0.708393633, 2.54186702
0.705097675, 2.51907969
0.703744173, 2.52033877
0.701940477, 2.51383638
0.700842261, 2.50362897
0.697926641, 2.49956989
0.694100082, 2.48105836
0.692531228, 2.47357035
0.68466109, 2.46531034
0.6792714, 2.45676064
0.673352897, 2.45261788
0.668095291, 2.43184543
0.662054121, 2.41175556
0.651439965, 2.37417364
0.642264783, 2.3413558
0.631900072, 2.29527712
0.612869322, 2.22121358
0.587582886, 2.11850238
0.567365468, 1.99653101
0.538494945, 1.86610186
0.50581336, 1.80732775
0.46638751, 1.66201484
0.440405518, 1.48139763
0.405465961, 1.33426762
