sep=, 
Hand-Neck Distance (m), Elbow Angle (rad)
0.730658829, 2.7180531
0.7322855, 2.71844769
0.732705891, 2.72423649
0.733157814, 2.72085238
0.732663274, 2.72896147
0.733388245, 2.72986269
0.732810259, 2.72750401
0.732548654, 2.72788858
0.732945323, 2.73189712
0.731261551, 2.72662759
0.73161608, 2.72049928
0.731938064, 2.72389102
0.73119092, 2.72711825
0.729673862, 2.72711182
0.729488134, 2.72637987
0.728784859, 2.72501802
0.728890598, 2.72584152
0.729425371, 2.72759318
0.728404164, 2.72842264
0.729226589, 2.73044086
0.728213966, 2.73227859
0.728843689, 2.73268342
0.727596343, 2.7310195
0.729499757, 2.73371077
0.729893088, 2.72977495
0.732266188, 2.73218274
0.731674075, 2.73740888
0.73127389, 2.73144722
0.732577622, 2.73014164
0.732667685, 2.73168731
0.734500885, 2.7349968
0.734837055, 2.73157549
0.736067653, 2.71940613
0.733088136, 2.70109963
0.729299128, 2.68979073
0.726777911, 2.64519668
0.723727584, 2.5709033
0.7117939, 2.49773908
0.695906162, 2.38386703
0.680572748, 2.23982692
0.655142963, 2.09348321
0.62404263, 1.91798198
0.578399301, 1.68979442
0.533267856, 1.52705145
0.490891337, 1.31645167
0.451504827, 1.22149241
0.417986184, 1.1036706
0.389601409, 0.942940116
0.363513321, 0.863993049
0.336412698, 0.811580777
0.312151402, 0.781576931
0.294189453, 0.776550591
0.285506099, 0.746524394
0.281727314, 0.748506248
0.288637251, 0.780242085
0.304196328, 0.81799984
0.333050132, 0.841085255
0.369608968, 1.09266758
0.414359391, 1.15064502
0.462375075, 1.28535485
0.511073411, 1.43762946
0.552376211, 1.58405721
0.584109902, 1.70349383
0.600260377, 1.77075362
0.607720912, 1.81179249
0.608469605, 1.83036029
0.606016815, 1.82513332
0.597379327, 1.78306139
0.579160333, 1.71591854
0.550193727, 1.61252415
0.523264468, 1.51866889
0.494221807, 1.42166018
0.46245876, 1.32294869
0.431774348, 1.2278204
0.399465233, 1.13400066
0.369005591, 1.02376306
0.337913722, 0.951460302
0.310975492, 0.880056083
0.290090621, 0.822818637
0.275047064, 0.765407741
0.26627773, 0.747498393
0.266457886, 0.751695335
0.272624046, 0.766756654
0.287910521, 0.796545327
0.313667715, 0.871525109
0.343662173, 0.96176827
0.380116284, 1.07049251
0.421055704, 1.19057429
0.464706182, 1.32895935
0.508670926, 1.47535813
0.549923897, 1.63401937
0.58888644, 1.78354466
0.618855655, 1.90852201
0.634901345, 1.99232769
0.649049282, 2.05320096
0.656512856, 2.09495831
0.657197535, 2.10256362
0.651270926, 2.07557249
0.646279871, 2.04751277
0.628497064, 1.98124969
0.60369271, 1.88848257
0.578930318, 1.78607607
0.541340947, 1.6606617
0.504152298, 1.52951109
0.459856421, 1.38846207
0.410479069, 1.23691845
0.364650458, 1.09259963
0.32384479, 0.981135607
0.293291777, 0.896809578
0.27302292, 0.832684278
0.266773939, 0.814429283
0.270040393, 0.813452661
0.287741393, 0.839428484
0.317320973, 0.90813458
