sep=, 
InInfraredSpace, Bounding Box, FacePoint 0, FacePoint 1, FacePoint 2, FacePoint 3, FacePoint 4, FaceRotation, FaceProperty 0, FaceProperty 1, FaceProperty 2, FaceProperty 3, FaceProperty 4, FaceProperty 5, FaceProperty 6, FaceProperty 7, 
1, 65 109 260 304, 277.510071 83.283371, 291.310516 87.4280319, 290.345398 93.6564941, 279.123077 100.233337, 289.326111 103.680229, 0.351833969 -0.348609149 0.0314235389 0.868157327, 1, 1, 1, 1, 1, 1, 1, 1
1, 64 111 260 307, 278.103973 85.7427902, 298.677368 87.5617676, 294.668121 93.9593506, 281.850647 103.183083, 295.25769 104.791473, 0.297126442 -0.239614561 0.0489352793 0.92298764, 1, 1, 1, 1, 1, 1, 1, 1
1, 0 0 0 0, 0 0, 0 0, 0 0, 0 0, 0 0, 0 0 0 0, 1, 1, 1, 1, 1, 1, 1, 1
1, 0 0 0 0, 0 0, 0 0, 0 0, 0 0, 0 0, 0 0 0 0, 1, 1, 1, 1, 1, 1, 1, 1
1, 0 0 0 0, 0 0, 0 0, 0 0, 0 0, 0 0, 0 0 0 0, 1, 1, 1, 1, 1, 1, 1, 1
1, 0 0 0 0, 0 0, 0 0, 0 0, 0 0, 0 0, 0 0 0 0, 1, 1, 1, 1, 1, 1, 1, 1
1, 73 111 266 304, 281.095154 84.9347534, 294.872437 85.8586731, 294.251587 93.1787109, 282.497803 100.089264, 293.541382 101.410721, 0.318187922 -0.335299969 0.0810653418 0.883039534, 1, 1, 1, 1, 1, 1, 1, 1
1, 65 112 256 303, 273.50946 84.0492706, 289.987488 88.4095764, 286.931274 92.4056549, 275.161804 102.107147, 286.566803 104.480675, 0.267730981 -0.254063547 0.0347590968 0.928743064, 0, 1, 0, 0, 0, 0, 0, 3
1, 66 113 248 295, 270.208527 83.1299896, 289.808624 89.5449982, 283.39328 90.6304092, 270.677643 99.1455383, 283.798737 103.001205, 0.316240549 -0.174753949 -0.055395294 0.930797637, 0, 1, 0, 0, 0, 0, 0, 3
1, 68 111 247 290, 261.378479 83.2337646, 281.850464 86.3708344, 273.782043 88.617691, 264.242493 102.481789, 277.948761 104.272789, 0.213898808 -0.085312359 -0.00733688101 0.973095655, 0, 2, 0, 0, 0, 0, 0, 2
1, 69 110 245 285, 254.417526 84.8615875, 274.393982 84.0940552, 262.860992 88.9651184, 256.621735 102.996925, 271.296051 102.514023, 0.207362533 0.0440830402 -0.00108203758 0.977269888, 1, 2, 3, 3, 1, 1, 3, 2
1, 69 112 236 279, 248.412857 85.830513, 267.827301 82.7022552, 253.282852 87.29776, 250.86351 102.998604, 263.758392 100.885422, 0.23757042 0.147381738 -0.00102769211 0.960123956, 0, 1, 0, 0, 0, 0, 0, 3
1, 61 108 237 284, 244.499893 87.4386063, 262.202637 82.0135956, 247.83609 88.0263596, 246.773132 102.555435, 259.384064 99.5775604, 0.270549566 0.264897376 -0.0139810964 0.925438762, 1, 1, 1, 1, 1, 1, 1, 1
1, 67 111 232 276, 243.54158 87.8601151, 259.994598 82.6662521, 244.980179 90.1859283, 244.93457 104.199272, 256.796387 101.979622, 0.259397596 0.299294531 -0.0371315032 0.917473078, 0, 1, 0, 0, 0, 0, 0, 3
1, 63 110 233 280, 242.739044 90.0441589, 258.546265 82.6353455, 243.852814 89.8720169, 244.863861 103.782875, 254.664841 99.8874435, 0.282377243 0.289025128 0.0180180222 0.914550662, 1, 1, 1, 1, 1, 1, 1, 1
1, 67 114 226 273, 242.332153 87.7009964, 256.765686 82.463974, 241.686447 90.7575073, 244.221237 103.74334, 253.846603 99.9990234, 0.283772856 0.339750409 -0.0144787952 0.896567345, 0, 1, 0, 0, 0, 0, 0, 3
1, 67 111 227 271, 241.881912 87.5475769, 254.689758 82.0973511, 241.598129 90.7523117, 242.582733 102.706749, 252.094315 98.9199829, 0.292965949 0.34404099 -0.00847264379 0.892039716, 0, 1, 0, 0, 0, 0, 0, 3
1, 69 112 228 271, 241.279144 85.9508743, 254.666153 81.290329, 239.907486 90.8082581, 241.911865 103.807022, 252.097 100.05452, 0.292407453 0.324681401 -0.0227324143 0.899201393, 0, 1, 0, 0, 0, 0, 0, 3
1, 69 112 228 271, 241.062119 86.1040039, 253.678558 81.6335831, 239.914459 91.5094757, 242.651718 104.349586, 251.753265 101.050064, 0.282655567 0.327101082 -0.0136191323 0.901623726, 0, 1, 0, 0, 0, 0, 0, 3
1, 63 110 228 275, 240.59462 87.733963, 255.228134 82.5070496, 240.664307 90.4787827, 243.145218 104.729294, 253.574097 101.126694, 0.280535758 0.341540873 0.000536009669 0.897022367, 1, 1, 1, 1, 1, 1, 1, 1
1, 65 112 231 278, 241.478531 85.5391846, 255.255569 81.289444, 241.448868 90.0515747, 242.531799 102.638512, 252.448608 100.172958, 0.284993023 0.314522445 -0.0298823938 0.904965043, 1, 1, 1, 1, 1, 1, 1, 1
1, 61 108 231 278, 243.04364 86.005867, 257.484894 81.6308441, 244.653824 88.5697098, 245.025955 100.77803, 254.603333 98.4227905, 0.286100954 0.258416325 -0.0106102079 0.922634602, 1, 1, 1, 1, 1, 1, 1, 1
1, 67 110 235 278, 244.626755 87.5516129, 261.911102 82.0413818, 245.841736 88.4009094, 246.591431 102.436829, 258.038727 99.3412399, 0.27916646 0.272861689 -0.0157954246 0.920523286, 0, 1, 0, 0, 0, 0, 0, 3
1, 68 109 237 278, 252.386566 83.7172546, 269.023346 81.1697998, 255.31636 86.8340302, 252.206329 99.001709, 264.384308 97.3600311, 0.242241204 0.209532157 -0.0329073332 0.946748495, 0, 1, 0, 0, 0, 0, 0, 3
1, 67 114 235 282, 248.151672 84.2899017, 266.556183 81.8204498, 252.031799 87.8925476, 250.373886 101.267677, 263.863739 99.8823853, 0.251177639 0.177579165 -0.0126280412 0.951428354, 0, 1, 0, 0, 0, 0, 0, 3
1, 69 104 245 280, 252.062469 83.7068253, 271.929626 82.0836945, 258.719269 88.360733, 255.34906 101.943253, 267.795044 100.465103, 0.22302115 0.125088856 -0.0012075454 0.966753781, 0, 2, 0, 0, 0, 0, 0, 2
1, 69 105 245 281, 251.998978 83.1689224, 273.037689 83.0653305, 259.873169 86.542572, 254.836945 101.646973, 269.30722 101.012573, 0.230017409 0.0592239536 -0.0100322664 0.971331, 0, 2, 0, 0, 0, 0, 0, 2
1, 69 110 243 283, 255.777847 83.2447205, 275.348328 83.3148193, 264.596222 86.5279541, 258.134521 101.282249, 271.293915 101.616615, 0.215511128 0.0182897747 -0.0121321958 0.976254702, 1, 2, 3, 1, 1, 2, 3, 2
1, 69 111 245 287, 257.383484 81.9553375, 277.319427 83.2229767, 267.86792 85.9957275, 260.215363 100.321953, 273.460175 100.471779, 0.22415401 -0.0300278962 -0.00429003965 0.974081576, 0, 2, 0, 0, 0, 0, 0, 2
1, 68 108 247 287, 256.569031 82.4741745, 277.118347 83.9611282, 266.178375 88.0189438, 257.997681 99.5017548, 273.361053 100.84906, 0.230049759 0.00550661422 -0.0299995132 0.972700775, 0, 2, 0, 0, 0, 0, 0, 2
1, 68 109 246 288, 257.3479 83.6108856, 277.399048 83.9030762, 266.019043 87.3253632, 259.30188 101.628525, 273.030212 102.320648, 0.220505029 0.033659216 -0.0235546902 0.974520266, 0, 2, 0, 0, 0, 0, 0, 2
1, 68 108 247 287, 257.388306 82.2096558, 276.563416 83.459671, 267.292328 87.6945572, 258.632416 98.9574738, 273.674652 99.7839508, 0.219469547 -0.0369864553 -0.0175501928 0.974759996, 0, 2, 0, 0, 0, 0, 0, 2
