sep=, 
Hand-Neck Distance (m), Elbow Angle (rad)
0.739821076, 2.69976354
0.739652693, 2.70493484
0.739212036, 2.69957852
0.739501655, 2.70405507
0.739141881, 2.70055723
0.740903914, 2.70178914
0.739556134, 2.69978237
0.740094364, 2.70045567
0.738802195, 2.70771313
0.739142299, 2.70266986
0.740970016, 2.70580435
0.740128458, 2.70512486
0.740757287, 2.70239258
0.740320385, 2.70058608
0.739843309, 2.70570517
0.73982352, 2.6964705
0.74222064, 2.705863
0.740575016, 2.70451808
0.740170777, 2.7022121
0.740369201, 2.70386529
0.741423011, 2.70540833
0.741205156, 2.70220733
0.741092503, 2.7059567
0.740432203, 2.70474553
0.740316808, 2.70747066
0.738856673, 2.70894861
0.739365935, 2.71400738
0.738004923, 2.71158552
0.738546133, 2.7096324
0.73873961, 2.71280003
0.738691092, 2.7131474
0.738338351, 2.7140255
0.739281237, 2.71290493
0.737555146, 2.71448755
0.738362789, 2.71628571
0.738408744, 2.71757245
0.738254547, 2.71007419
0.737562478, 2.71140361
0.73780781, 2.71585536
0.737731636, 2.71008205
0.738316417, 2.70962238
0.738187969, 2.71342182
0.738592863, 2.70866561
0.73837167, 2.71221089
0.73954767, 2.70732522
0.740971088, 2.70787215
0.743728817, 2.70872569
0.745090663, 2.71319699
0.746868849, 2.71255445
0.749409795, 2.70639968
0.751816988, 2.71062016
0.753699183, 2.70651865
0.751567423, 2.70389771
0.751995623, 2.70295382
0.753245056, 2.70522237
0.753650069, 2.71253991
0.751993716, 2.70851469
0.752295017, 2.70827532
0.751231313, 2.70448899
0.748646557, 2.71100354
0.747971416, 2.70739079
0.744284809, 2.70549178
0.742785513, 2.71142864
0.738856852, 2.71414614
0.734737039, 2.71525741
0.733395457, 2.71496677
0.7305457, 2.71815062
0.729075789, 2.71788096
0.729325056, 2.72407556
0.728869617, 2.72356558
0.728569031, 2.72421432
0.72946614, 2.72134423
0.729051232, 2.71725941
0.73198247, 2.71763229
0.733570158, 2.71598792
0.73669827, 2.71487927
0.740091443, 2.71559143
0.744749725, 2.7209928
0.745497644, 2.71864891
0.747087598, 2.71781373
0.747861624, 2.71913099
0.749549627, 2.71680522
0.749796927, 2.71484756
0.749186456, 2.710114
0.750381589, 2.71165228
0.74936074, 2.70822573
0.747356832, 2.71165681
0.747174263, 2.71469307
0.743123949, 2.71081018
0.741994977, 2.71888876
0.738832116, 2.71781564
0.73614186, 2.71588302
0.734284401, 2.71999431
0.732881188, 2.71820116
0.732503057, 2.7177546
0.731052041, 2.71673989
0.731045604, 2.71576953
0.731259286, 2.71505618
0.730707645, 2.71575522
0.730902195, 2.71493745
0.733941078, 2.71285987
0.736635149, 2.70941734
0.740077436, 2.71100879
0.74158287, 2.70740128
0.745865524, 2.70538187
0.746724904, 2.70606422
0.748886645, 2.70276308
0.749261916, 2.70248985
0.751270115, 2.70886445
0.7515257, 2.71193123
0.752847373, 2.71410632
0.753054619, 2.71392298
0.753864169, 2.71421051
0.755206525, 2.71349931
0.754355252, 2.71661711
0.754359305, 2.71411419
0.751335442, 2.71302176
0.748752892, 2.71916366
0.746169508, 2.71949983
0.742468417, 2.72214246
0.741544545, 2.72248602
0.738157928, 2.72511744
0.736502409, 2.72451591
0.735048294, 2.72460651
0.734200239, 2.72387385
0.733716607, 2.72303534
0.73394382, 2.72250438
0.733313978, 2.71986818
0.734272182, 2.72055125
0.732715368, 2.71315742
0.732198179, 2.71666193
0.73259449, 2.70837903
0.732278705, 2.70804739
0.731958449, 2.70290065
0.732255816, 2.70609403
0.73141253, 2.70646811
0.732475281, 2.7036221
0.732321024, 2.70563102
0.732518494, 2.70328617
0.731597126, 2.70447731
0.731969178, 2.70448542
0.731893063, 2.70235109
0.732153773, 2.70174813
0.733325362, 2.69999862
0.735256851, 2.69415236
0.737009466, 2.69253588
0.739102006, 2.68749738
0.742118895, 2.68469667
0.742070496, 2.6794095
0.742477834, 2.67635441
0.744162023, 2.67713428
0.743852556, 2.67523003
0.742979348, 2.67421651
0.743233383, 2.67255759
0.743212521, 2.67555285
0.741459489, 2.67577887
0.741579294, 2.67734528
0.740953147, 2.67803073
0.739538908, 2.67713213
0.739094019, 2.68054795
0.738773346, 2.68405271
0.739334464, 2.69024134
0.737612724, 2.69973612
0.738944769, 2.70454955
0.73935312, 2.70648837
0.739022911, 2.70858145
0.739216447, 2.71406364
0.739095867, 2.7126503
0.73838526, 2.71045494
0.737413049, 2.71205473
0.73784256, 2.71071315
0.738818049, 2.70473552
0.73865211, 2.70304894
0.739305437, 2.7022531
0.74043709, 2.70306706
0.741723955, 2.69874644
0.742042303, 2.6998868
0.741005301, 2.69828629
0.741185248, 2.69925046
0.741909564, 2.69769835
0.741514385, 2.69953632
0.741057754, 2.69549894
0.741270185, 2.69834924
0.741104603, 2.6982162
0.738547325, 2.69918108
0.739974618, 2.70740294
0.739130914, 2.70543742
0.738892376, 2.70824981
0.739912093, 2.71356654
0.739584565, 2.71851802
0.740077794, 2.71916604
0.739038408, 2.72068262
0.738887668, 2.72409201
0.737959266, 2.72405601
0.741588533, 2.72433066
0.738427937, 2.71682429
0.737801194, 2.71513987
0.738953769, 2.7163887
0.739150286, 2.71939063
0.739825726, 2.71386313
0.738678217, 2.71172595
0.739271164, 2.70422697
0.739100754, 2.6975863
0.739564002, 2.6948061
0.740077674, 2.69168901
0.740263879, 2.68830323
0.739626706, 2.68873429
0.739331484, 2.690943
0.738449097, 2.69077158
0.737181365, 2.69036794
0.738516986, 2.69178772
0.735844731, 2.68963671
0.736001432, 2.69292092
0.735070884, 2.69143796
0.7343207, 2.69397688
0.737240255, 2.70013261
0.736460209, 2.70037293
0.738194644, 2.7079196
0.736651361, 2.70403481
0.736574113, 2.70093465
0.737219214, 2.70111203
0.735573351, 2.70178223
0.735503495, 2.70611024
0.736358583, 2.70053244
0.737256885, 2.69873357
0.737582028, 2.69646883
0.736173153, 2.69348693
0.737817585, 2.69489694
0.737996817, 2.69266176
0.738537312, 2.69831014
0.73879844, 2.69973493
0.738362134, 2.69779849
