sep=, 
LeftHandState, LeftHandTrackingConfidence, RightHandState, RightHandTrackingConfidence, TrackingState, TrackingID, Joint0, Joint1, Joint2, Joint3, Joint4, Joint5, Joint6, Joint7, Joint8, Joint9, Joint10, Joint11, Joint12, Joint13, Joint14, Joint15, Joint16, Joint17, Joint18, Joint19, Joint20, Joint21, Joint22, Joint23, Joint24, JointOrientation0, JointOrientation1, JointOrientation2, JointOrientation3, JointOrientation4, JointOrientation5, JointOrientation6, JointOrientation7, JointOrientation8, JointOrientation9, JointOrientation10, JointOrientation11, JointOrientation12, JointOrientation13, JointOrientation14, JointOrientation15, JointOrientation16, JointOrientation17, JointOrientation18, JointOrientation19, JointOrientation20, JointOrientation21, JointOrientation22, JointOrientation23, JointOrientation24
1, 1, 1, 1, 1, 72057594037933845, 0 0.17860949 0.126674548 2.50560546 2, 1 0.181856796 0.472092122 2.51289749 2, 2 0.185757995 0.803830922 2.50837445 2, 3 0.199199855 0.958928227 2.49774623 2, 4 -0.000766041165 0.679816484 2.50637531 2, 5 -0.0781086907 0.415635079 2.52559972 2, 6 -0.109564982 0.20364958 2.42032051 2, 7 -0.110222094 0.144666731 2.36585546 2, 8 0.368689626 0.659754992 2.49199677 2, 9 0.425812453 0.384755284 2.50800753 2, 10 0.420337647 0.160231769 2.43105936 2, 11 0.401666969 0.101207152 2.40532398 2, 12 0.0930441767 0.125021979 2.46556997 2, 13 0.0334196836 -0.331477225 2.49217224 2, 14 -0.018140411 -0.694031119 2.40706015 2, 15 -0.0502333231 -0.739905417 2.271667 2, 16 0.258347929 0.123450778 2.46262097 2, 17 0.32025975 -0.31945008 2.47635722 2, 18 0.358941525 -0.657783747 2.44326115 2, 19 0.382008076 -0.719638288 2.27562833 2, 20 0.184865355 0.722755551 2.51188469 2, 21 -0.107435822 0.0890974924 2.3440764 2, 22 -0.134916469 0.144093722 2.33953857 2, 23 0.407636493 0.0296586733 2.39484906 2, 24 0.44090867 0.0667523369 2.38919997 2, 0 -0.00886519533 0.00460586231 0.999893963 0.0105945244, 1 -0.013706062 0.00455451477 0.999839306 0.0106167002, 2 -0.0188105162 0.0059069139 0.999573827 -0.0215244722, 3 0 0 0 0, 4 -0.0130357929 0.782679915 -0.622250497 0.00682830857, 5 -0.0603956245 0.775307417 -0.132891104 -0.614484131, 6 -0.222215757 0.777253568 0.0819051713 -0.582913935, 7 -0.298364103 0.75637126 0.208924592 -0.543352425, 8 -0.0374576747 0.812415838 0.580805004 -0.0352543071, 9 -0.0267907139 0.858594239 0.102594353 0.501570106, 10 -0.0879635513 0.584580421 -0.13926591 0.794438958, 11 -0.0102001056 0.601637244 -0.244332746 0.760414422, 12 -0.157367602 0.697418153 -0.683000803 0.149510205, 13 0.0258674212 -0.700128376 0.0660879686 0.710481226, 14 0.126066864 -0.630866706 -0.0440406501 0.764313161, 15 0 0 0 0, 16 -0.177727729 0.699693501 0.671289921 -0.167963147, 17 -0.0375503674 0.712495327 0.0603163131 0.698070467, 18 -0.0745678023 0.671569943 0.00232175039 0.737175703, 19 0 0 0 0, 20 -0.0187035017 0.00603756635 0.999805033 -0.00190752931, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 1, 1, 1, 72057594037933845, 0 0.178740337 0.126634791 2.50553846 2, 1 0.181970194 0.471968085 2.51323104 2, 2 0.185530901 0.803524494 2.50954485 2, 3 0.197838187 0.958600521 2.49948668 2, 4 -0.000837157131 0.680173218 2.50838065 2, 5 -0.0782964751 0.418514043 2.5274024 2, 6 -0.110901922 0.207632795 2.42006254 2, 7 -0.11235103 0.145210207 2.36393714 2, 8 0.368190497 0.659910977 2.49159241 2, 9 0.425724983 0.384680718 2.50745392 2, 10 0.421618849 0.15999499 2.43099475 2, 11 0.404307932 0.103538834 2.40993404 2, 12 0.0931907594 0.124945998 2.46569586 2, 13 0.0335439406 -0.33174628 2.49227834 2, 14 -0.0181323942 -0.694662511 2.40676594 2, 15 -0.0507423878 -0.741703093 2.27477312 2, 16 0.25861004 0.123493992 2.46203804 2, 17 0.320283473 -0.319608539 2.4764235 2, 18 0.388831049 -0.681500435 2.41250324 2, 19 0.387458503 -0.735650301 2.24729371 2, 20 0.184774771 0.722504079 2.51279044 2, 21 -0.109477662 0.0913291723 2.34679532 2, 22 -0.131119311 0.149968103 2.32756519 2, 23 0.416416496 0.0310838763 2.39734006 2, 24 0.439693719 0.106151357 2.39457154 2, 0 -0.0110045355 0.00455257809 0.999866545 0.011186243, 1 -0.0163614508 0.00449257949 0.999793231 0.0112104751, 2 -0.0219864137 0.00510239601 0.999547005 -0.0199093856, 3 0 0 0 0, 4 -0.011841476 0.781749547 -0.623469055 0.00372353895, 5 -0.0620257854 0.772098839 -0.133715063 -0.61817193, 6 -0.240838379 0.896007359 0.0238943975 -0.372285813, 7 -0.337725371 0.872211695 0.119110145 -0.333168149, 8 -0.0403297395 0.811878026 0.581243217 -0.0372010246, 9 -0.0276662055 0.857071936 0.102910243 0.50405544, 10 -0.090291515 0.588186741 -0.13628757 0.792028725, 11 0.00260531181 0.610146999 -0.223025724 0.760245621, 12 -0.157107666 0.69777137 -0.682913721 0.14853017, 13 0.0260310173 -0.698599041 0.0660061166 0.711986661, 14 0.126182526 -0.627400875 -0.044870384 0.767093658, 15 0 0 0 0, 16 -0.179603487 0.699058652 0.671182394 -0.169037983, 17 -0.0366940573 0.714043677 0.0606899336 0.696499705, 18 -0.12596646 0.732403159 0.0101113925 0.669040918, 19 0 0 0 0, 20 -0.0218836404 0.00561478734 0.999744475 -0.000756574795, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 1, 1, 1, 72057594037933845, 0 0.178886712 0.126536787 2.50545597 2, 1 0.182079509 0.471888065 2.51338983 2, 2 0.185500488 0.803468227 2.50992727 2, 3 0.196735904 0.958523035 2.50042844 2, 4 -0.000735601643 0.680238783 2.50964403 2, 5 -0.0781966373 0.42028743 2.52801561 2, 6 -0.111176908 0.209726334 2.42009759 2, 7 -0.114593387 0.148989737 2.36324954 2, 8 0.366947919 0.659907699 2.49049616 2, 9 0.425649166 0.383995384 2.50641227 2, 10 0.423777074 0.158931002 2.43123674 2, 11 0.405568361 0.101684548 2.41290736 2, 12 0.0933236256 0.124806002 2.46574521 2, 13 0.033591006 -0.33170262 2.49232864 2, 14 -0.0168650486 -0.693540394 2.40840721 2, 15 -0.0516045317 -0.741702497 2.27544117 2, 16 0.258813113 0.123466425 2.46169353 2, 17 0.320174932 -0.319315106 2.47650981 2, 18 0.389110357 -0.680801511 2.41188955 2, 19 0.3864685 -0.734765291 2.2497983 2, 20 0.184792235 0.722439289 2.51311111 2, 21 -0.113989033 0.0925183669 2.33861709 2, 22 -0.133886084 0.149532303 2.32822776 2, 23 0.420170426 0.0296150707 2.4013896 2, 24 0.436194539 0.047186777 2.38700008 2, 0 -0.0121943308 0.00448107859 0.999849021 0.0115395105, 1 -0.0185787193 0.00440730061 0.999750793 0.0115678897, 2 -0.0252489857 0.0048621688 0.999478817 -0.0195178352, 3 0 0 0 0, 4 -0.0105380313 0.781586766 -0.623705983 0.00140003697, 5 -0.0634020194 0.771831155 -0.133780196 -0.618352354, 6 -0.234878525 0.819844365 0.0642714277 -0.518224478, 7 -0.326182038 0.797479987 0.169902354 -0.478292882, 8 -0.0431831516 0.812177896 0.58043015 -0.0400386788, 9 -0.0288419817 0.855506897 0.104357623 0.506345391, 10 -0.0922455788 0.587105632 -0.131382406 0.793433249, 11 0.021278156 0.61531657 -0.209312931 0.759684682, 12 -0.156859368 0.698077321 -0.682804942 0.147853419, 13 0.0261852648 -0.697746396 0.066066049 0.712810993, 14 0.123688802 -0.621463001 -0.0454119742 0.772283971, 15 0 0 0 0, 16 -0.180614337 0.698633552 0.671223223 -0.169555008, 17 -0.0360576063 0.714909911 0.0608678199 0.695628464, 18 -0.127050087 0.735726297 0.0105207497 0.665172398, 19 0 0 0 0, 20 -0.0251509119 0.00542555284 0.999668837 -0.000419844757, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 1, 1, 1, 72057594037933845, 0 0.178948939 0.126504675 2.50540948 2, 1 0.182064638 0.471883863 2.51361489 2, 2 0.185068771 0.80358994 2.51072621 2, 3 0.195481002 0.958488405 2.50191236 2, 4 -0.000707348401 0.680486679 2.51013899 2, 5 -0.078121461 0.420422435 2.52819204 2, 6 -0.112071306 0.210206553 2.41986632 2, 7 -0.113805346 0.147655606 2.36485648 2, 8 0.366102934 0.660156131 2.48992229 2, 9 0.425673306 0.383981586 2.50615001 2, 10 0.426754385 0.158496767 2.43254352 2, 11 0.410981834 0.0971916094 2.41760468 2, 12 0.0934054181 0.1247354 2.46583605 2, 13 0.0336111262 -0.331701308 2.49236226 2, 14 -0.0169258416 -0.693597198 2.40840983 2, 15 -0.0586983189 -0.741885245 2.2754221 2, 16 0.25891453 0.123496905 2.46131158 2, 17 0.320061654 -0.318675846 2.47640204 2, 18 0.440603793 -0.693051159 2.34723902 2, 19 0.377141833 -0.745459318 2.23716092 2, 20 0.184506401 0.722516358 2.51374364 2, 21 -0.112233222 0.0899855494 2.33709359 2, 22 -0.134023562 0.147475913 2.33686662 2, 23 0.420348942 0.0255902931 2.40648079 2, 24 0.447682858 0.0645571947 2.39949989 2, 0 -0.0136238765 0.00434722751 0.999826491 0.0119363116, 1 -0.0200104509 0.0042708898 0.999719024 0.0119638368, 2 -0.0266753323 0.00396140013 0.999465168 -0.0185000785, 3 0 0 0 0, 4 -0.0115047079 0.781427443 -0.623889506 0.000798186287, 5 -0.0643608496 0.769204319 -0.13302578 -0.621680439, 6 -0.233007446 0.789872885 0.0758870542 -0.562182844, 7 -0.297965139 0.773512661 0.189307153 -0.526362777, 8 -0.0460390002 0.812047124 0.58027935 -0.0416612923, 9 -0.0298081972 0.852007449 0.105623879 0.511896729, 10 -0.0953309834 0.587581396 -0.124904081 0.793762684, 11 0.0233979132 0.615105093 -0.16783303 0.77001971, 12 -0.156688303 0.698374689 -0.682689369 0.147162676, 13 0.0263750907 -0.696723282 0.0660405681 0.71380645, 14 0.122469947 -0.599788904 -0.0487847626 0.78922385, 15 0 0 0 0, 16 -0.181888565 0.698170066 0.671160936 -0.170347095, 17 -0.0356300473 0.715928137 0.061046429 0.694586694, 18 -0.206935316 0.890340269 0.0707097203 0.399339557, 19 0 0 0 0, 20 -0.0265832953 0.00486248126 0.999634683 0.000386231899, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 1, 1, 1, 72057594037933845, 0 0.179083377 0.126409501 2.50527763 2, 1 0.181984454 0.471929491 2.51389146 2, 2 0.184161246 0.804089308 2.51200247 2, 3 0.194130138 0.958509505 2.50304842 2, 4 -0.000784586999 0.680453062 2.51050377 2, 5 -0.0780522376 0.420428127 2.52832341 2, 6 -0.112365559 0.210036457 2.42050076 2, 7 -0.112007596 0.142254129 2.37064147 2, 8 0.365854561 0.660243511 2.48961687 2, 9 0.425752789 0.383874744 2.50589728 2, 10 0.429103345 0.1579943 2.43389392 2, 11 0.412252367 0.0982601792 2.42005777 2, 12 0.093545489 0.124596708 2.46594262 2, 13 0.0338635743 -0.331497252 2.49229932 2, 14 -0.0171432029 -0.693962991 2.40822864 2, 15 -0.0585720502 -0.741932511 2.27664042 2, 16 0.259107977 0.123462893 2.46061516 2, 17 0.320150614 -0.317707866 2.47599959 2, 18 0.394071162 -0.684413254 2.40413189 2, 19 0.387607664 -0.733649969 2.24802613 2, 20 0.183877215 0.722863495 2.51472521 2, 21 -0.113089807 0.086319007 2.3432076 2, 22 -0.134118348 0.14335224 2.33842373 2, 23 0.421399385 0.0247851852 2.40875268 2, 24 0.447688669 0.0689251423 2.39780021 2, 0 -0.0160429534 0.00399656221 0.999784827 0.0125275189, 1 -0.0215812139 0.00392710185 0.999680579 0.0125494646, 2 -0.0273617301 0.00220546592 0.999483645 -0.0166990794, 3 0 0 0 0, 4 -0.0137584265 0.78223449 -0.622831821 0.000602226297, 5 -0.0646683574 0.768669724 -0.132521659 -0.622417033, 6 -0.227312952 0.752552032 0.0892956406 -0.611572087, 7 -0.243665159 0.74669975 0.194577202 -0.587542772, 8 -0.04923914 0.812102377 0.579871714 -0.0425921381, 9 -0.0305374935 0.849364042 0.105926462 0.516166449, 10 -0.094489716 0.570013583 -0.121396311 0.807105362, 11 0.0389562622 0.601931036 -0.169685677 0.77933836, 12 -0.156341299 0.698807061 -0.682591975 0.145925, 13 0.0265964884 -0.694998503 0.0658104345 0.715498924, 14 0.122861385 -0.599731863 -0.048453711 0.78922683, 15 0 0 0 0, 16 -0.183905363 0.697531044 0.670902967 -0.171809465, 17 -0.0352402292 0.717624485 0.0614160262 0.692821324, 18 -0.136181772 0.744422317 0.0107759712 0.653585434, 19 0 0 0 0, 20 -0.0272828098 0.00372460671 0.999619246 0.00176352577, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
0, 0, 1, 1, 1, 72057594037933845, 0 0.179168358 0.126384795 2.50510931 2, 1 0.181838304 0.471986443 2.51410365 2, 2 0.18324323 0.804377913 2.51294947 2, 3 0.1925641 0.959069312 2.5047586 2, 4 -0.000917055062 0.680235147 2.51173329 2, 5 -0.0779749304 0.42032814 2.52846289 2, 6 -0.112424344 0.209577248 2.4214654 2, 7 -0.111524545 0.137473255 2.38227296 2, 8 0.365659744 0.660267949 2.48954296 2, 9 0.425896615 0.383851469 2.50567031 2, 10 0.431047767 0.157552838 2.43543291 2, 11 0.413789511 0.0971154049 2.4223392 2, 12 0.09362185 0.124532536 2.46602559 2, 13 0.0340993069 -0.331382722 2.49224734 2, 14 -0.0171004292 -0.693891108 2.40814662 2, 15 -0.0419695526 -0.739974856 2.25571203 2, 16 0.259210676 0.123603895 2.45965743 2, 17 0.320163727 -0.317804128 2.47607303 2, 18 0.444335878 -0.693561137 2.34331322 2, 19 0.376326621 -0.746047676 2.23712349 2, 20 0.183184922 0.723089218 2.51547861 2, 21 -0.111724876 0.0814361349 2.35420847 2, 22 -0.138614222 0.136770055 2.36321449 2, 23 0.423841923 0.0251950175 2.41353941 2, 24 0.455015987 0.112323523 2.41630006 2, 0 -0.0191869028 0.00361134671 0.999723852 0.0130806947, 1 -0.0239476729 0.00354901119 0.999621093 0.0130977454, 2 -0.0289091729 0.000807987351 0.999460995 -0.0155340424, 3 0 0 0 0, 4 -0.0136558535 0.783155382 -0.621674716 -0.00127012189, 5 -0.0659071878 0.769428968 -0.131117269 -0.621645927, 6 0.216018215 -0.687252164 -0.110294655 0.684730411, 7 -0.176349983 0.708902121 0.172130331 -0.660855234, 8 -0.0510858931 0.812055826 0.579723358 -0.0433178954, 9 -0.0312959664 0.848227978 0.106197953 0.517930508, 10 -0.0907351524 0.537664294 -0.11979951 0.829657912, 11 0.0511939637 0.570968449 -0.163406983 0.802914917, 12 -0.155915365 0.699232697 -0.682528555 0.14463307, 13 0.0267924219 -0.692750692 0.0655286014 0.717693925, 14 0.126456037 -0.659292996 -0.0386008248 0.740170002, 15 0 0 0 0, 16 -0.186766058 0.696286917 0.670834899 -0.174021438, 17 -0.0341150351 0.719854593 0.062224362 0.690487921, 18 -0.209460318 0.898921311 0.0776456743 0.376879394, 19 0 0 0 0, 20 -0.028848473 0.00260125147 0.99957639 0.00281399628, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 1, 1, 1, 72057594037933845, 0 0.17919682 0.126404539 2.50504231 2, 1 0.181637168 0.472122252 2.51449919 2, 2 0.182476237 0.804706633 2.51408863 2, 3 0.191385835 0.959159017 2.50586462 2, 4 -0.00111938082 0.680213571 2.51260924 2, 5 -0.0779125467 0.420036823 2.52864075 2, 6 -0.112006932 0.207059115 2.42651391 2, 7 -0.107597977 0.131602347 2.39289212 2, 8 0.365272641 0.660344303 2.48944712 2, 9 0.426006675 0.383761495 2.50546932 2, 10 0.43265903 0.156932086 2.43751907 2, 11 0.417566508 0.0976649299 2.42624187 2, 12 0.0936538726 0.124510065 2.46607995 2, 13 0.0335765369 -0.336516559 2.49327207 2, 14 -0.0168120135 -0.694056809 2.40817285 2, 15 -0.0470729768 -0.740503907 2.26329803 2, 16 0.259218335 0.123790152 2.45927691 2, 17 0.320205092 -0.317661494 2.47604465 2, 18 0.443386227 -0.69308275 2.34480977 2, 19 0.376714855 -0.746016324 2.2378571 2, 20 0.182557806 0.723377347 2.51644588 2, 21 -0.104418933 0.0674121603 2.37087083 2, 22 -0.131878734 0.13649188 2.37833333 2, 23 0.423504472 0.025991993 2.41899443 2, 24 0.455089092 0.0771933571 2.41074991 2, 0 -0.0205108728 0.00324712158 0.999689877 0.013742568, 1 -0.025183985 0.00318284263 0.999583125 0.0137575977, 2 -0.0300317872 -6.59606958e-005 0.999443829 -0.0144959306, 3 0 0 0 0, 4 -0.0147049259 0.783807814 -0.620825469 -0.00219215127, 5 -0.0655170232 0.774510026 -0.130365714 -0.615505099, 6 0.194531485 -0.606311381 -0.12623848 0.760662735, 7 0.113813162 -0.633171201 -0.176017135 0.745089769, 8 -0.0536042489 0.812116623 0.579339743 -0.0442546532, 9 -0.0317752771 0.848707855 0.106797412 0.51699084, 10 -0.0942732468 0.563754201 -0.111045361 0.812996149, 11 0.0429069921 0.594395638 -0.14715904 0.789428294, 12 -0.155998364 0.699582756 -0.682341099 0.143732712, 13 0.0262822136 -0.691831529 0.0659324527 0.718562007, 14 0.127160043 -0.641275644 -0.043888811 0.755426764, 15 0 0 0 0, 16 -0.188242257 0.695464075 0.671111286 -0.174654618, 17 -0.0337670967 0.720776677 0.0625633001 0.689511955, 18 -0.208151072 0.897128224 0.0762361735 0.382128388, 19 0 0 0 0, 20 -0.029988952 0.0017150318 0.999541044 0.00392701896, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 1, 1, 1, 72057594037933845, 0 0.179261252 0.126369372 2.50490141 2, 1 0.181588292 0.472119957 2.51472306 2, 2 0.182244882 0.804722786 2.51476645 2, 3 0.189603075 0.958915472 2.50738645 2, 4 -0.00146570161 0.679860592 2.5133698 2, 5 -0.0768280104 0.416586637 2.52971816 2, 6 -0.105813503 0.197684079 2.44073486 2, 7 -0.0876066387 0.126394644 2.41913891 2, 8 0.364801049 0.66052258 2.48934841 2, 9 0.426432401 0.383462727 2.50539613 2, 10 0.434139103 0.156438068 2.43839645 2, 11 0.418586612 0.0980672613 2.42636609 2, 12 0.0937120095 0.124425918 2.46602225 2, 13 0.0329895653 -0.340227813 2.49386096 2, 14 -0.0165845379 -0.693947494 2.40858746 2, 15 -0.0407891385 -0.740796566 2.26911163 2, 16 0.259251952 0.12383806 2.45910954 2, 17 0.32062903 -0.318834573 2.4759624 2, 18 0.384881943 -0.686881542 2.40805578 2, 19 0.38778767 -0.733977377 2.25088787 2, 20 0.182364911 0.723392129 2.51702189 2, 21 -0.0999472737 0.0585396737 2.38624454 2, 22 -0.122951686 0.117975719 2.37132168 2, 23 0.426674217 0.0270183012 2.41604829 2, 24 0.457752913 0.0705761835 2.40974998 2, 0 -0.0208522398 0.00306728436 0.999676049 0.0142659126, 1 -0.0259298999 0.00299478043 0.999557257 0.0142813092, 2 -0.0311805867 -0.000305072055 0.999417305 -0.0138781192, 3 0 0 0 0, 4 -0.0149050336 0.784335852 -0.620148718 -0.00326753338, 5 -0.058164537 0.796512485 -0.129527465 -0.587713778, 6 -0.196690544 0.853363335 0.0395656712 -0.481163532, 7 -0.0661702752 0.857419074 0.175443947 -0.479242563, 8 -0.0552579723 0.811925292 0.579389691 -0.0450722314, 9 -0.0324370526 0.848854423 0.107962385 0.516466975, 10 -0.0982132182 0.588434458 -0.105146565 0.795640111, 11 0.0372985713 0.620288312 -0.15738453 0.767516315, 12 -0.156051919 0.699903011 -0.682135701 0.143088445, 13 0.0261122752 -0.691598952 0.0663801357 0.718750715, 14 0.128651708 -0.656044722 -0.0427062139 0.742448747, 15 0 0 0 0, 16 -0.188718811 0.695189893 0.67131114 -0.17446357, 17 -0.033884041 0.721001089 0.0627811551 0.689251721, 18 -0.124052688 0.719447196 -0.000239854809 0.683378756, 19 0 0 0 0, 20 -0.0311456192 0.00140210101 0.999503136 0.00462013716, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 1, 1, 1, 72057594037933845, 0 0.179268211 0.126307994 2.504848 2, 1 0.181252524 0.472045779 2.51507902 2, 2 0.181269348 0.80466342 2.515553 2, 3 0.188909322 0.958902478 2.50784588 2, 4 -0.00190516422 0.679157674 2.51409531 2, 5 -0.0764787719 0.414432853 2.53032589 2, 6 -0.102112591 0.193164125 2.44702601 2, 7 -0.0986659452 0.118348882 2.42012215 2, 8 0.364532948 0.660645664 2.48927999 2, 9 0.426683426 0.38322252 2.50534248 2, 10 0.434788108 0.156115636 2.43872857 2, 11 0.420062125 0.0956969708 2.42651677 2, 12 0.0937647 0.124271996 2.46612287 2, 13 0.0332853459 -0.339290231 2.49353385 2, 14 -0.0161914546 -0.691262901 2.41001463 2, 15 -0.0540617034 -0.739691019 2.27573204 2, 16 0.259184539 0.123819821 2.45887113 2, 17 0.320437253 -0.316921711 2.47508502 2, 18 0.385074288 -0.686555207 2.40882134 2, 19 0.387627274 -0.734470963 2.25099754 2, 20 0.181545347 0.723329127 2.5177207 2, 21 -0.0952942222 0.047578834 2.40100503 2, 22 -0.125003412 0.106518611 2.3840003 2, 23 0.427825451 0.0252020024 2.42229891 2, 24 0.458575279 0.105176166 2.4207499 2, 0 -0.0218932796 0.00254415651 0.999646783 0.0148501489, 1 -0.0269115735 0.00246957154 0.999524295 0.0148627348, 2 -0.0320750028 -0.00126801478 0.999395251 -0.0133698285, 3 0 0 0 0, 4 -0.0154182194 0.785498261 -0.618658423 -0.00405100267, 5 -0.0543528572 0.809672236 -0.128891245 -0.569968045, 6 -0.175729692 0.78787297 0.0625021979 -0.586914659, 7 -0.125457317 0.794537663 0.119159162 -0.582040787, 8 -0.0568762645 0.811300933 0.580046654 -0.0458453409, 9 -0.0327519402 0.849207699 0.108618177 0.515728295, 10 -0.0915160626 0.53613168 -0.110086508 0.831906557, 11 0.0407037772 0.565079093 -0.14719975 0.810778081, 12 -0.156047702 0.700449109 -0.681766987 0.142175883, 13 0.0263737272 -0.690864682 0.0660024285 0.719481885, 14 0.125099435 -0.612701118 -0.0484378338 0.778846025, 15 0 0 0 0, 16 -0.189660534 0.694887698 0.671222866 -0.174984872, 17 -0.0343946777 0.721675396 0.0624917597 0.688546598, 18 -0.122371681 0.720546365 0.00179521053 0.682520926, 19 0 0 0 0, 20 -0.0320593305 0.00041381942 0.999472022 0.00527212955, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 1, 1, 1, 72057594037933845, 0 0.179143205 0.126283914 2.50482106 2, 1 0.180726856 0.472111225 2.51549339 2, 2 0.180483356 0.804828644 2.51614285 2, 3 0.187933609 0.959178388 2.50886679 2, 4 -0.00232994603 0.678783774 2.51498365 2, 5 -0.075504452 0.407782435 2.53116417 2, 6 -0.098531425 0.183914512 2.45546627 2, 7 -0.0888371989 0.111756369 2.43711019 2, 8 0.364033848 0.661033928 2.48918772 2, 9 0.426945269 0.383191139 2.50544405 2, 10 0.435214788 0.156052798 2.43899274 2, 11 0.420659274 0.097539261 2.42642879 2, 12 0.0936157852 0.124190763 2.46621227 2, 13 0.0325465985 -0.342999876 2.49405003 2, 14 -0.0165471453 -0.692428827 2.40906048 2, 15 -0.0540829115 -0.739775479 2.27560449 2, 16 0.25899294 0.12386471 2.45876646 2, 17 0.320865095 -0.317409277 2.47491145 2, 18 0.375537038 -0.655427635 2.41958952 2, 19 0.38649559 -0.729758441 2.25773525 2, 20 0.180796564 0.723475337 2.51829314 2, 21 -0.090810068 0.0394680314 2.41672969 2, 22 -0.122775391 0.107695028 2.41454792 2, 23 0.431685835 0.025057286 2.42119122 2, 24 0.456488907 0.107185617 2.4137826 2, 0 -0.0224859379 0.00194136437 0.999625623 0.015472088, 1 -0.0278287251 0.00185863662 0.999491096 0.0154822432, 2 -0.0333075821 -0.00148329278 0.999355972 -0.0132690324, 3 0 0 0 0, 4 -0.015157002 0.786447942 -0.617449522 -0.00509047555, 5 -0.0495756231 0.820543051 -0.12501806 -0.555537403, 6 -0.155277073 0.752715349 0.0668354779 -0.636271656, 7 -0.053083688 0.760634184 0.129115805 -0.633992851, 8 -0.0581236109 0.810732663 0.580635011 -0.0468743145, 9 -0.0328959078 0.850020111 0.109793603 0.514129341, 10 -0.095548369 0.56605202 -0.106200032 0.811897218, 11 0.0331809521 0.59539789 -0.154558212 0.787725985, 12 -0.156141743 0.700864434 -0.681520045 0.141206414, 13 0.0263412967 -0.690467596 0.0662336051 0.719842792, 14 0.126723737 -0.612395823 -0.0506959707 0.778679788, 15 0 0 0 0, 16 -0.190272942 0.694586575 0.671325862 -0.175120771, 17 -0.0348499082 0.722039163 0.0628790706 0.688106894, 18 -0.112840921 0.709582329 0.000461808871 0.695528269, 19 0 0 0 0, 20 -0.0333043635 -4.68946491e-005 0.999429762 0.00557038048, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
