sep=, 
DontCare_frames, User0-Seq0Gest0, User0-Seq0Gest1, User0-Seq0Gest2, User0-Seq0Gest3, User0-Seq1Gest0, User0-Seq1Gest1, User0-Seq1Gest2, User0-Seq1Gest3, User0-Seq2Gest0, User0-Seq2Gest1, User0-Seq2Gest2, User0-Seq2Gest3, User0-Seq3Gest0, User0-Seq3Gest1, User0-Seq3Gest2, User0-Seq3Gest3, User0-Seq4Gest0, User0-Seq4Gest1, User0-Seq4Gest2, User0-Seq4Gest3, MeanUser0-Gest0, MeanUser0-Gest1, MeanUser0-Gest2, MeanUser0-Gest3, GlobalMeanUser0, User1-Seq0Gest0, User1-Seq0Gest1, User1-Seq0Gest2, User1-Seq0Gest3, User1-Seq1Gest0, User1-Seq1Gest1, User1-Seq1Gest2, User1-Seq1Gest3, User1-Seq2Gest0, User1-Seq2Gest1, User1-Seq2Gest2, User1-Seq2Gest3, User1-Seq3Gest0, User1-Seq3Gest1, User1-Seq3Gest2, User1-Seq3Gest3, User1-Seq4Gest0, User1-Seq4Gest1, User1-Seq4Gest2, User1-Seq4Gest3, MeanUser1-Gest0, MeanUser1-Gest1, MeanUser1-Gest2, MeanUser1-Gest3, GlobalMeanUser1, User2-Seq0Gest0, User2-Seq0Gest1, User2-Seq0Gest2, User2-Seq0Gest3, User2-Seq1Gest0, User2-Seq1Gest1, User2-Seq1Gest2, User2-Seq1Gest3, User2-Seq2Gest0, User2-Seq2Gest1, User2-Seq2Gest2, User2-Seq2Gest3, User2-Seq3Gest0, User2-Seq3Gest1, User2-Seq3Gest2, User2-Seq3Gest3, User2-Seq4Gest0, User2-Seq4Gest1, User2-Seq4Gest2, User2-Seq4Gest3, MeanUser2-Gest0, MeanUser2-Gest1, MeanUser2-Gest2, MeanUser2-Gest3, GlobalMeanUser2, User3-Seq0Gest0, User3-Seq0Gest1, User3-Seq0Gest2, User3-Seq0Gest3, User3-Seq1Gest0, User3-Seq1Gest1, User3-Seq1Gest2, User3-Seq1Gest3, User3-Seq2Gest0, User3-Seq2Gest1, User3-Seq2Gest2, User3-Seq2Gest3, User3-Seq3Gest0, User3-Seq3Gest1, User3-Seq3Gest2, User3-Seq3Gest3, User3-Seq4Gest0, User3-Seq4Gest1, User3-Seq4Gest2, User3-Seq4Gest3, MeanUser3-Gest0, MeanUser3-Gest1, MeanUser3-Gest2, MeanUser3-Gest3, GlobalMeanUser3, User4-Seq0Gest0, User4-Seq0Gest1, User4-Seq0Gest2, User4-Seq0Gest3, User4-Seq1Gest0, User4-Seq1Gest1, User4-Seq1Gest2, User4-Seq1Gest3, User4-Seq2Gest0, User4-Seq2Gest1, User4-Seq2Gest2, User4-Seq2Gest3, User4-Seq3Gest0, User4-Seq3Gest1, User4-Seq3Gest2, User4-Seq3Gest3, User4-Seq4Gest0, User4-Seq4Gest1, User4-Seq4Gest2, User4-Seq4Gest3, MeanUser4-Gest0, MeanUser4-Gest1, MeanUser4-Gest2, MeanUser4-Gest3, GlobalMeanUser4, User5-Seq0Gest0, User5-Seq0Gest1, User5-Seq0Gest2, User5-Seq0Gest3, User5-Seq1Gest0, User5-Seq1Gest1, User5-Seq1Gest2, User5-Seq1Gest3, User5-Seq2Gest0, User5-Seq2Gest1, User5-Seq2Gest2, User5-Seq2Gest3, User5-Seq3Gest0, User5-Seq3Gest1, User5-Seq3Gest2, User5-Seq3Gest3, User5-Seq4Gest0, User5-Seq4Gest1, User5-Seq4Gest2, User5-Seq4Gest3, MeanUser5-Gest0, MeanUser5-Gest1, MeanUser5-Gest2, MeanUser5-Gest3, GlobalMeanUser5, GlobalMeanGesture0, GlobalMeanGesture1, GlobalMeanGesture2, GlobalMeanGesture3, GlobalScore
19, 1, 0, 0, 1, 0.947368, 0, 0, 0.818182, 1, 0, 0, 1, 0.842105, 0, 0, 1, 1, 0, 0.0909091, 0.6, 0.957895, 0, 0.0181818, 0.883636, 0.464928, 0, 0, 0.0983607, 0, 1, 0, 0.0449438, 1, 0.442308, 0, 0.0923077, 1, 0.416667, 0, 0.0423729, 1, 1, 0, 0.100775, 0.967742, 0.571795, 0, 0.0757521, 0.793548, 0.360274, 1, 0.21813, 1, 0.945455, 1, 0.166667, 1, 1, 0.525641, 0.116556, 0.105263, 1, 0.928571, 0.186441, 0, 1, 0, 0.342404, 0, 1, 0.690843, 0.20604, 0.421053, 0.989091, 0.576756, 0.928571, 0, 0, 1, 0.963636, 0.333333, 0, 1, 0.981481, 0, 0, 0.863636, 1, 1, 0, 1, 0.931035, 1, 0, 1, 0.960945, 0.466667, 0, 0.972727, 0.600085, 1, 0.516129, 0.833333, 1, 0.175926, 1, 0.181818, 0.8, 0.884615, 0, 0.75, 1, 0.949153, 1, 0.75, 0.73913, 0.642857, 0, 0.133333, 1, 0.73051, 0.503226, 0.529697, 0.907826, 0.667815, 0.90625, 0.666667, 0.652174, 0.933333, 0.622642, 0, 0.2, 0.666667, 0.421687, 1, 1, 1, 1, 0, 0, 0, 0.794521, 0, 0, 0.209302, 0.74902, 0.333333, 0.370435, 0.56186, 0.503662, 0.776834, 0.251544, 0.235853, 0.851448, 0.52892
21, 1, 0, 0, 1, 1, 0, 0, 0.875, 1, 0, 0, 1, 0.875, 0, 0, 1, 1, 0, 0.0747664, 0.5, 0.975, 0, 0.0149533, 0.875, 0.466238, 0, 0, 0.0840336, 0, 1, 0, 0.0232558, 1, 0.44, 0, 0.0787402, 1, 0.413043, 0, 0.026087, 1, 1, 0, 0.0873016, 0.983333, 0.570609, 0, 0.0598836, 0.796667, 0.35679, 1, 0.2149, 0, 0.950617, 1, 0.16436, 0, 1, 0.533333, 0.114514, 0, 1, 0.938272, 0.183374, 0, 1, 0, 0.342466, 0, 1, 0.694321, 0.203923, 0, 0.990123, 0.472092, 0.943396, 0, 0, 1, 0.980769, 0, 0, 1, 1, 0, 0, 0.894737, 1, 0, 0, 1, 0.945455, 1, 0, 1, 0.973924, 0.2, 0, 0.978947, 0.538218, 1, 0, 0.512821, 1, 0.163462, 0, 0.380952, 0.857143, 0.913043, 0, 0.65, 1, 0.964286, 0.339623, 1, 0.738095, 0.657895, 0, 0.2, 1, 0.739737, 0.0679245, 0.548755, 0.919048, 0.568866, 0.931035, 0.161926, 0.55814, 0.923077, 0.62, 0.0978441, 0.118056, 0.666667, 0.4125, 0.160976, 0.857143, 1, 1, 0.176471, 0.217391, 0, 0.8, 0.122605, 0, 0.190476, 0.752707, 0.143964, 0.350146, 0.556044, 0.450715, 0.784383, 0.102635, 0.16229, 0.852638, 0.475487
23, 1, 0, 0, 1, 0.933333, 0, 0, 1, 1, 0, 0, 1, 0.857143, 0.266667, 0, 1, 1, 0.6, 0.0576923, 0, 0.958095, 0.173333, 0.0115385, 0.8, 0.485742, 0, 1, 0.125, 0, 1, 0, 0.0763889, 1, 0.4375, 0, 0.126374, 1, 0.409091, 0, 1, 1, 1, 0, 0.121951, 1, 0.569318, 0.2, 0.289943, 0.8, 0.464815, 1, 0.211594, 0, 0.955975, 1, 0.162021, 0, 1, 0.52, 0.11245, 0, 1, 0.936709, 0.180247, 0, 1, 0, 0.342529, 0, 1, 0.691342, 0.201768, 0, 0.991195, 0.471076, 0.923077, 0, 0.488372, 1, 0.98, 0.132867, 0.882353, 1, 1, 0, 0, 0.9375, 1, 0.140187, 0.78125, 1, 0.943396, 0.115385, 0.166667, 1, 0.969295, 0.0776877, 0.463728, 0.9875, 0.624553, 1, 0, 0.527778, 1, 0.15, 0, 0.368421, 1, 0.95, 0, 0.666667, 1, 0.981132, 0.336538, 1, 0.736842, 0.676471, 0, 0.166667, 1, 0.751521, 0.0673077, 0.545906, 0.947368, 0.578026, 0.961538, 0.15894, 0.560976, 0.909091, 0.617021, 0.0951586, 0.105634, 0.666667, 0.402597, 0.157635, 0.88, 0, 1, 0.171642, 0.15, 0, 0.80597, 0.116732, 0, 0.170732, 0.757425, 0.140022, 0.339322, 0.349298, 0.396517, 0.782833, 0.143353, 0.275073, 0.81256, 0.503455
25, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0.909091, 0.166667, 0, 1, 1, 0.666667, 0.039604, 0, 0.981818, 0.166667, 0.00792079, 0.8, 0.489101, 0, 1, 0.116402, 0, 1, 0, 0.0642857, 1, 0.434783, 0, 0.117318, 1, 0.404762, 0, 1, 1, 1, 0, 0.114428, 1, 0.567909, 0.2, 0.282487, 0.8, 0.462599, 1, 0.208211, 0, 0.961538, 1, 0.159649, 0, 1, 0.527778, 0.110363, 0, 1, 0.947368, 0.177057, 0, 1, 0, 0.342593, 0, 1, 0.695029, 0.199575, 0, 0.992308, 0.471728, 0.938776, 0, 0.512195, 1, 1, 0.121429, 0.933333, 1, 1, 0, 0, 0.928571, 1, 0.134615, 0.827586, 1, 0.96, 0.107843, 0.142857, 1, 0.979755, 0.0727774, 0.483194, 0.985714, 0.63036, 1, 0, 0.545455, 1, 0.135417, 0, 0.352941, 1, 1, 0, 0.6875, 1, 1, 0.333333, 1, 0.735294, 0.7, 0, 0.125, 1, 0.767083, 0.0666667, 0.542179, 0.947059, 0.580747, 1, 0.155902, 0.564103, 0.888889, 0.6, 0.092437, 0.0928571, 0.666667, 0.386667, 0.154229, 0.909091, 0, 1, 0.166667, 0.0588235, 0, 0.8125, 0.110672, 0, 0.15, 0.759833, 0.135981, 0.324975, 0.341111, 0.390475, 0.791905, 0.140278, 0.273459, 0.811032, 0.504168
27, 1, 0, 0, 1, 1, 0, 0, 0.333333, 1, 0, 0, 1, 0.888889, 0, 0, 0, 1, 0.666667, 0.0204082, 0, 0.977778, 0.133333, 0.00408163, 0.466667, 0.395465, 0, 1, 0.107527, 0, 1, 0, 0.0514706, 1, 0.431818, 0, 0.107955, 1, 0.4, 0, 1, 1, 1, 0, 0.106599, 0.851852, 0.566364, 0.2, 0.27471, 0.77037, 0.452861, 1, 0.204748, 0.272727, 0.993289, 1, 0.157244, 0, 1, 0.536232, 0.108254, 1, 1, 0.958904, 0.173804, 0, 1, 0, 0.342657, 0.851852, 0.777778, 0.699027, 0.197341, 0.424916, 0.954213, 0.568874, 0.956522, 0.0761523, 0.538462, 1, 1, 0.207273, 1, 1, 1, 0.0612245, 0, 0.416667, 1, 0.354839, 0.884615, 1, 0.978723, 0.119149, 0.115385, 1, 0.987049, 0.163727, 0.507692, 0.883333, 0.635451, 1, 0, 0.566667, 1, 0.119565, 0, 0.333333, 0, 1, 0, 0.714286, 1, 1, 0.33, 1, 0, 0.730769, 0, 0.0714286, 0.972973, 0.770067, 0.066, 0.537143, 0.594595, 0.491951, 1, 0.152809, 0.567568, 0.857143, 0.581395, 0.0896785, 0.0797101, 0, 0.369863, 0.150754, 0.947368, 0, 1, 0.161538, 0, 0, 0.819672, 0.104418, 0, 0.128205, 0.754186, 0.131839, 0.318929, 0.19707, 0.350506, 0.792412, 0.148707, 0.344579, 0.644375, 0.482518
29, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0.666667, 0, 0, 1, 0.133333, 0, 0.4, 0.383333, 0, 0.641509, 0.0983607, 0, 1, 0, 0.037594, 1, 0.428571, 0, 0.0982659, 1, 0.394737, 0, 1, 1, 1, 0.265306, 0.0979381, 0.884615, 0.564662, 0.181363, 0.266432, 0.776923, 0.447345, 1, 0.201201, 0.210526, 0.993197, 1, 0.154804, 0, 1, 0.545455, 0.106122, 1, 1, 0.971429, 0.170483, 0, 1, 0, 0.342723, 0.88, 0.833333, 0.703377, 0.195067, 0.418105, 0.965306, 0.570464, 0.976744, 0.0727273, 0.567568, 1, 1, 0.202206, 1, 1, 1, 0.0570776, 0, 0.8, 1, 0.350993, 0.916667, 0.966667, 1, 0.11588, 0.0833333, 1, 0.995349, 0.159777, 0.513514, 0.953333, 0.655493, 1, 0, 0.592593, 1, 0.102273, 0, 0.307692, 0, 1, 0, 0.75, 1, 1, 0.326531, 1, 0, 0.772727, 0, 0, 0.971429, 0.775, 0.0653061, 0.530057, 0.594286, 0.491162, 1, 0.14966, 0.571429, 1, 0.547619, 0.0868824, 0.0661765, 0, 0.347222, 0.147208, 1, 0, 1, 0.15625, 0, 0, 0.827586, 0.0979592, 0, 0.105263, 0.744485, 0.127592, 0.327521, 0.221053, 0.355163, 0.797145, 0.14374, 0.342605, 0.651817, 0.483827
31, 1, 0.264286, 0, 1, 1, 0.14881, 0, 0, 0, 0.5, 0, 1, 1, 0.387097, 0, 0, 0, 0.411111, 0, 0, 0.6, 0.342261, 0, 0.4, 0.335565, 0, 0.64, 0.0888889, 0, 1, 0, 0.0230769, 1, 0.425, 0, 0.0882353, 1, 0.444444, 0, 1, 1, 1, 0.26087, 0.0890052, 0.9, 0.573889, 0.180174, 0.257841, 0.78, 0.447976, 1, 0.197568, 0.125, 0.993103, 1, 0.15233, 0, 1, 0.555556, 0.103967, 1, 1, 0.985075, 0.167095, 0, 1, 0, 0.34279, 0.913043, 1, 0.708126, 0.19275, 0.407609, 0.998621, 0.576776, 1, 0.0692464, 0.6, 0.636364, 1, 0.197026, 1, 0.947368, 1, 0.0528736, 0, 1, 1, 0.346939, 0.954545, 0.75, 1, 0.112554, 0.0454545, 1, 1, 0.155728, 0.52, 0.866746, 0.635619, 1, 0, 0.625, 1, 0.0833333, 0, 0.272727, 0, 1, 0, 0.8, 1, 1, 0.322917, 1, 0, 0.833333, 0, 0, 0.969697, 0.783333, 0.0645833, 0.539545, 0.593939, 0.49535, 1, 0.146119, 0.575758, 1, 0.512195, 0.084048, 0.0522388, 0, 0.323944, 0.14359, 1, 0, 1, 0.150794, 0, 0, 0.836364, 0.0912863, 0, 0.0810811, 0.7345, 0.123167, 0.325599, 0.216216, 0.349871, 0.733308, 0.176444, 0.341766, 0.642587, 0.473526
33, 1, 0.257353, 0, 1, 1, 0.140244, 0, 0, 0, 0.487179, 0, 1, 1, 0.372881, 0, 0, 0, 0.402299, 0, 0, 0.6, 0.331991, 0, 0.4, 0.332998, 0, 0.638298, 1, 0, 1, 0, 1, 1, 0.421053, 0, 0.923077, 1, 0.382353, 0, 1, 1, 1, 0.255814, 0.0797872, 0.916667, 0.560681, 0.178822, 0.800573, 0.783333, 0.580852, 1, 0.193846, 0, 0.993007, 1, 0.149819, 0, 1, 0.596491, 0.101788, 1, 1, 1, 0.163636, 0, 1, 0, 0.342857, 0.952381, 1, 0.719298, 0.190389, 0.390476, 0.998601, 0.574691, 1, 0.0657084, 0.636364, 1, 1, 0.191729, 1, 1, 1, 0.0486111, 0, 1, 1, 0.342657, 1, 0.961538, 1, 0.10917, 0, 1, 1, 0.151575, 0.527273, 0.992308, 0.667789, 1, 0, 0.666667, 1, 0.0625, 0, 0.222222, 0, 1, 0, 0.875, 1, 1, 0.319149, 1, 0, 0.928571, 0, 0, 0.967742, 0.798214, 0.0638298, 0.552778, 0.593548, 0.502093, 1, 0.142529, 0.580645, 1, 0.487179, 0.0811744, 0.0378788, 0, 0.304348, 0.139896, 1, 0, 1, 0.145161, 0, 0, 0.846154, 0.0843882, 0, 0.129032, 0.727536, 0.11863, 0.323705, 0.225806, 0.348919, 0.734288, 0.17254, 0.432467, 0.6656, 0.501224
35, 1, 0.25, 0, 1, 1, 0.13125, 0, 0, 0, 0.473684, 0, 1, 0, 0.357143, 0, 0, 0, 0.392857, 0, 0, 0.4, 0.320987, 0, 0.4, 0.280247, 0, 0.636364, 1, 0, 1, 0, 0, 1, 0.416667, 0, 0.909091, 1, 0.40625, 0, 1, 1, 1, 0.25, 0.0702703, 0.934783, 0.564583, 0.177273, 0.595872, 0.786956, 0.531171, 1, 0.190031, 0, 0.992908, 1, 0.147273, 0, 1, 0.6, 0.0995851, 1, 1, 1, 0.160105, 0, 1, 0, 0.342926, 1, 0, 0.72, 0.187984, 0.4, 0.798582, 0.526641, 1, 0.0619835, 0.677419, 0.666667, 1, 0.186312, 1, 0.933333, 1, 0.044289, 0, 1, 1, 0.338129, 1, 0.791667, 1, 0.105727, 0, 1, 1, 0.147288, 0.535484, 0.878333, 0.640276, 1, 0, 0.722222, 1, 0.0394737, 0, 0.142857, 0, 1, 0, 1, 1, 1, 0.315217, 0, 0, 1, 0, 0, 0.965517, 0.807895, 0.0630435, 0.373016, 0.593103, 0.459264, 1, 0.138889, 0.586207, 0, 0.459459, 0.0782609, 0.0230769, 0, 0.283582, 0.13577, 1, 0, 1, 0.139344, 0, 0, 0.857143, 0.0772532, 0, 0.0689655, 0.720037, 0.113904, 0.321857, 0.0137931, 0.292398, 0.702086, 0.168413, 0.371038, 0.578461, 0.455
37, 1, 0.242188, 0, 0.189189, 0, 0.128205, 0, 0, 0, 0.459459, 0, 0.923077, 0, 0.339623, 0, 0, 0, 0.382716, 0, 0, 0.2, 0.310438, 0, 0.222453, 0.183223, 0, 0.634146, 1, 0, 1, 0, 0, 1, 0.411765, 0, 0.888889, 1, 0.433333, 0, 0, 1, 1, 0.243243, 0.0604396, 1, 0.56902, 0.175478, 0.389866, 0.8, 0.483591, 1, 0.18612, 0, 0.992806, 1, 0.144689, 0, 1, 0.603774, 0.0973574, 1, 0, 1, 0.156499, 0, 1, 0, 0.342995, 1, 0, 0.720755, 0.185532, 0.4, 0.598561, 0.476212, 1, 0.0582121, 0.724138, 0.9375, 1, 0.180769, 1, 0.923077, 1, 0.0399061, 0, 1, 1, 0.333333, 1, 1, 1, 0.102222, 0, 1, 1, 0.142889, 0.544828, 0.972115, 0.664958, 1, 0, 0.8, 1, 0.0138889, 0, 0, 0, 1, 0, 1, 1, 1, 0.311111, 0, 0.7, 1, 0, 0, 0.740741, 0.802778, 0.0622222, 0.36, 0.688148, 0.478287, 1, 0.135198, 0.592593, 0, 0.428571, 0.0753065, 0.0078125, 0, 0.261538, 0.131579, 1, 0, 1, 0.133333, 0, 0, 0.869565, 0.069869, 0, 0, 0.711935, 0.109057, 0.320081, 0, 0.285268, 0.667414, 0.164269, 0.335796, 0.54688, 0.42859
39, 1, 0.233871, 0, 0.142857, 0, 0.125, 0, 0, 0, 0.444444, 0, 0.909091, 0, 0.32, 0, 0, 0, 0.371795, 0, 0, 0.2, 0.299022, 0, 0.21039, 0.177353, 0, 0.631579, 1, 0, 1, 0, 0, 1, 0.40625, 0, 0.857143, 1, 0.785714, 0, 0, 1, 1, 0.235294, 0.0502793, 0.952381, 0.638393, 0.173375, 0.381484, 0.790476, 0.495932, 1, 0.182109, 0, 0.992701, 1, 0.142066, 0, 0, 0.607843, 0.0951049, 1, 0, 1, 0.152815, 0, 0, 0, 0.343066, 1, 0, 0.721569, 0.183032, 0.4, 0.19854, 0.375785, 1, 0.0543933, 0.740741, 0.928571, 1, 0.175097, 1, 0.909091, 1, 0.035461, 0, 0, 1, 0.328244, 1, 1, 1, 0.0986547, 0, 1, 1, 0.13837, 0.548148, 0.767532, 0.613513, 1, 0, 0.846154, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0.306818, 0, 0.666667, 1, 0, 0, 1, 0.8, 0.0613636, 0.369231, 0.733333, 0.490982, 1, 0.131455, 0.6, 0, 0.393939, 0.0723104, 0, 0, 0.238095, 0.127321, 1, 0, 1, 0.127119, 0, 0, 0.883721, 0.0622222, 0, 0, 0.703151, 0.104086, 0.32, 0, 0.281809, 0.677185, 0.159875, 0.336477, 0.450045, 0.405896
41, 1, 0.225, 0, 0.107143, 0, 0.114865, 0, 0, 0, 0.428571, 0, 1, 0, 0.297872, 0, 0, 0, 0.36, 0, 0, 0.2, 0.285262, 0, 0.221429, 0.176673, 0, 0.628571, 1, 0, 1, 0, 0, 1, 0.4, 0, 0.8, 1, 0.769231, 0, 0, 1, 1, 0.225806, 0.0397727, 0.975, 0.633846, 0.170876, 0.367955, 0.795, 0.491919, 1, 0.177994, 0, 0.992593, 1, 0.139405, 0, 0, 0.612245, 0.092827, 1, 0, 1, 0.149051, 0, 0, 0, 0.343137, 1, 0, 0.722449, 0.180483, 0.4, 0.198519, 0.375363, 1, 0.0505263, 0.76, 1, 1, 0.169291, 0, 1, 1, 0.0309524, 0, 0, 1, 0.322835, 1, 0.944444, 1, 0.0950226, 0, 1, 1, 0.133725, 0.352, 0.788889, 0.568654, 1, 0, 0.909091, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0.300578, 0, 0.5, 1, 0, 0, 1, 0.8, 0.0601156, 0.181818, 0.7, 0.435483, 1, 0.12766, 0.608696, 0, 0.354839, 0.0692718, 0, 0, 0.213115, 0.122995, 1, 0, 1, 0.12069, 0, 0, 0.9, 0.0542986, 0, 0, 0.693591, 0.0989829, 0.321739, 0, 0.278578, 0.674981, 0.154907, 0.270585, 0.450639, 0.387778
43, 1, 0.215517, 0, 0.0384615, 0, 0.104167, 0, 0, 0, 0.411765, 0, 1, 0, 0.272727, 0, 0, 0, 0.347222, 0, 0, 0.2, 0.27028, 0, 0.207692, 0.169493, 0, 0.625, 1, 0, 1, 0, 0, 1, 0.392857, 0, 1, 1, 0.791667, 0, 0, 1, 1, 0.214286, 0.0289017, 1, 0.636905, 0.167857, 0.40578, 0.8, 0.502636, 1, 0.17377, 0, 0.992481, 1, 0.136704, 0, 0, 0.617021, 0.0905233, 0, 0, 1, 0.145205, 0, 0, 0, 0.34321, 1, 0, 0.723404, 0.177883, 0.2, 0.198496, 0.324946, 1, 0.0466102, 0.782609, 1, 1, 0.163347, 0, 0.857143, 1, 0.0263789, 0, 0, 1, 0.317073, 1, 1, 1, 0.0913242, 0, 1, 1, 0.128947, 0.356522, 0.771429, 0.564224, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0.294118, 0, 0, 1, 0, 0, 0.952381, 0.6, 0.0588235, 0.2, 0.590476, 0.362325, 1, 0.12381, 0.619048, 0, 0.310345, 0.0661896, 0, 0, 0.186441, 0.118598, 1, 0, 1, 0.114035, 0, 0, 0.918919, 0.046083, 0, 0, 0.683141, 0.0937431, 0.32381, 0, 0.275173, 0.640575, 0.149589, 0.247685, 0.428016, 0.366466
45, 1, 0.205357, 0, 0, 0, 0.0928571, 0, 0, 0, 0.393939, 0, 1, 0, 0.243902, 0, 0, 0, 0.333333, 0, 0, 0.2, 0.253878, 0, 0.2, 0.163469, 0, 0.62069, 1, 0, 1, 0, 0, 1, 0.384615, 0, 1, 1, 0.727273, 0, 0, 1, 1, 0.2, 0.0176471, 1, 0.622378, 0.164138, 0.403529, 0.8, 0.497511, 1, 0.169435, 0, 0.992366, 1, 0.133962, 0, 0, 0.622222, 0.0881935, 0, 0, 1, 0.141274, 0, 0, 0, 0.343284, 1, 0, 0.724444, 0.17523, 0.2, 0.198473, 0.324537, 1, 0.0426439, 0.809524, 1, 1, 0.157258, 0, 1, 1, 0.0217391, 0, 0, 1, 0.310924, 1, 1, 1, 0.0875576, 0, 1, 1, 0.124025, 0.361905, 0.8, 0.571482, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0.287425, 0, 0, 1, 0, 0, 0.947368, 0.6, 0.057485, 0.2, 0.589474, 0.36174, 1, 0.119904, 0.631579, 0, 0.179487, 0.0630631, 0, 0, 0.157895, 0.11413, 0, 0, 1, 0.107143, 0, 0, 0.941176, 0.0375587, 0, 0, 0.655712, 0.0883598, 0.126316, 0, 0.217597, 0.633756, 0.143853, 0.215292, 0.431325, 0.356056
47, 1, 0.194444, 0, 0, 0, 0.0808824, 0, 0, 0, 0.375, 0, 1, 0, 0.210526, 0, 0, 0, 0.318182, 0, 0, 0.2, 0.235807, 0, 0.2, 0.158952, 0, 0.615385, 0, 0, 1, 0, 0, 0.622222, 0.375, 0, 0, 1, 0.75, 0, 0, 1, 1, 0.181818, 0.00598802, 1, 0.625, 0.159441, 0.0011976, 0.724444, 0.377521, 1, 0.164983, 0, 0.992248, 1, 0.131179, 0, 0, 0.627907, 0.0858369, 0, 0, 1, 0.137255, 0, 0, 0, 0.343358, 0, 0, 0.725581, 0.172522, 0, 0.19845, 0.274138, 1, 0.11465, 0, 1, 1, 0.195122, 0, 1, 1, 0, 0.333333, 0, 1, 0.0833333, 0, 1, 1, 0, 0.15, 1, 1, 0.078621, 0.0966667, 0.8, 0.493822, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0.280488, 0, 0, 0, 0, 0, 1, 0.4, 0.0560976, 0.2, 0.6, 0.314024, 1, 0.115942, 0.647059, 0, 0.2, 0.0598911, 0, 0, 0.127273, 0.109589, 0, 0, 1, 0.1, 0, 0, 0.967742, 0.0287081, 0, 0, 0.659003, 0.0828261, 0.129412, 0, 0.21781, 0.601597, 0.130886, 0.0712127, 0.420482, 0.306045
51, 1, 0.17, 0, 0, 0, 0.0546875, 0, 0, 0, 0.333333, 0, 0, 0, 0.125, 0, 0, 0, 0.283333, 0, 0, 0.2, 0.193271, 0, 0, 0.0983177, 0, 0.6, 0, 0, 1, 0, 0, 0.571429, 0.35, 0, 0, 1, 0.625, 0, 0, 0.9375, 1, 0.125, 0, 1, 0.595, 0.145, 0, 0.701786, 0.360446, 1, 0.155709, 0, 0.992, 1, 0.125483, 0, 0, 0.641026, 0.081042, 0, 0, 1, 0.12894, 0, 0, 0, 0.343511, 0, 0, 0.728205, 0.166937, 0, 0.1984, 0.273386, 1, 0.0915033, 0, 1, 1, 0.189873, 0, 0, 1, 0, 0.318182, 0, 1, 0.0686275, 0, 0.875, 1, 0, 0.125, 0, 1, 0.0700008, 0.0886364, 0.375, 0.383409, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.265823, 0, 0, 0, 0, 0, 1, 0.4, 0.0531646, 0.2, 0.4, 0.263291, 0, 0.107843, 0.692308, 0, 0.030303, 0.053407, 0, 0, 0.0588235, 0.100279, 0, 0, 0, 0.0849057, 0, 0, 1, 0.00995025, 0, 0, 0.217825, 0.0712769, 0.138462, 0, 0.106891, 0.523505, 0.116608, 0.071183, 0.279198, 0.247624
53, 0, 0.15625, 0, 0, 0, 0.0403226, 0, 0, 0, 0.310345, 0, 0, 0, 0.0689655, 0, 0, 0, 0.263158, 0, 0, 0, 0.167808, 0, 0, 0.041952, 0.4, 0.588235, 0, 0, 1, 0, 0, 0.55, 1, 0, 0, 1, 1, 0, 0, 0.928571, 1, 0.0769231, 0.0888889, 1, 0.88, 0.133032, 0.0177778, 0.695714, 0.431631, 1, 0.150877, 0, 0.99187, 1, 0.122568, 0, 0, 0.648649, 0.0786026, 0, 0, 1, 0.124638, 0, 0, 0, 0.34359, 0, 0, 0.72973, 0.164055, 0, 0.198374, 0.27304, 1, 0.0794702, 0, 0, 1, 0.187097, 0, 0, 1, 0, 0.309524, 0, 1, 0.0606061, 0, 1, 1, 0, 0.111111, 0, 1, 0.0654346, 0.084127, 0.2, 0.33739, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.258065, 0, 0, 0, 0, 0, 1, 0.4, 0.0516129, 0, 0.4, 0.212903, 0, 0.103704, 0.0855457, 0, 0, 0.0500928, 0.0819113, 0, 0.0204082, 0.0955056, 0.108824, 0, 0, 0.0769231, 0.00420168, 0, 1, 0, 0.0162602, 0, 0.204082, 0.065245, 0.0593485, 0, 0.0821688, 0.535635, 0.107865, 0.0268755, 0.249015, 0.229848
