sep=, 
Hand-Neck Distance (m), Elbow Angle (rad)
0.683627307, 1.78656161
0.677765429, 1.78346944
0.680952072, 1.78581548
0.680820465, 1.78522646
0.680535078, 1.78509724
0.679350138, 1.78564715
0.679243028, 1.78576589
0.678365767, 1.78552794
0.676561892, 1.78582609
0.664991379, 1.78016293
0.640251458, 2.47099972
0.638415992, 2.47189832
0.638301075, 2.47393608
0.637978435, 2.47305322
0.638162971, 2.47262478
0.638111651, 2.47707844
0.637606323, 2.47369552
0.637653232, 2.47278118
0.638710439, 2.4759233
0.638363957, 2.47330952
0.638093114, 2.47484875
0.63815856, 2.47520781
0.639157534, 2.47061849
0.640066564, 2.47202277
0.640330732, 2.46863198
0.64088583, 2.46950746
0.641373813, 2.46657681
0.642226219, 2.46304607
0.643497586, 2.4681139
0.641656041, 2.46063137
0.641356111, 2.45899487
0.64273566, 2.46315145
